movie,year,release_date_x,character_x,total_whoas_in_movie,movie_id,title,release_date_y,character_y,revenue
Babes in Toyland,1986,1986-12-19,Jack Fenton / Jack-be-Nimble,2,26984.0,Babes in Toyland,1986-12-19,Jack Fenton / Jack-be-Nimble,0.0
The Night Before,1988,1988-04-15,Winston Connelly,11,38966.0,The Night Before,1988-04-15,Winston Connelly,0.0
The Prince of Pennsylvania,1988,1988-10-10,Rupert Marshetta,1,369775.0,The Prince of Pennsylvania,1988-10-10,Rupert Marshetta,13064.0
Bill & Ted's Excellent Adventure,1989,1989-02-17,Ted Logan,26,1648.0,Bill & Ted's Excellent Adventure,1989-02-17,Ted 'Theodore' Logan,40500000.0
I Love You to Death,1990,1990-04-06,Marlon James,1,3101.0,I Love You to Death,1990-04-06,Marlon James,0.0
Tune in Tomorrow,1990,1990-10-26,Martin Loader,1,,,,,
Point Break,1991,1991-07-12,Johnny Utah,7,1089.0,Point Break,1991-07-12,Johnny Utah,83531958.0
Bill & Ted's Bogus Journey,1991,1991-07-19,Ted Logan / Evil Ted,28,1649.0,Bill & Ted's Bogus Journey,1991-07-19,Ted,38000000.0
The Matrix,1999,1999-03-31,Thomas A. Anderson / Neo,6,603.0,The Matrix,1999-03-31,Neo,463517383.0
Sweet November,2001,2001-02-16,Nelson Moss,11,1921.0,Sweet November,2001-02-16,Nelson Moss,65754228.0
Knock Knock,2015,2015-10-09,Evan Webber,12,263472.0,Knock Knock,2015-06-26,Evan Webber,6341684.0
The Neon Demon,2016,2016-06-24,Hank,5,301365.0,The Neon Demon,2016-05-31,Hank,3400000.0
Toy Story 4,2019,2019-06-21,Duke Caboom,1,301528.0,Toy Story 4,2019-06-19,Duke Caboom (voice),1073841394.0
Bill & Ted Face the Music,2020,2020-08-28,Ted Logan,5,501979.0,Bill & Ted Face the Music,2020-08-27,Ted,6300000.0
The Matrix Resurrections,2021,2021-12-22,Thomas A. Anderson / Neo,1,624860.0,The Matrix Resurrections,2021-12-16,Neo / Thomas Anderson,156497322.0
